Model,Accuracy,Precision,F1
LightGBM,0.5088161209068011,0.49537466162889493,0.4971836948393208
XGBoost,0.491183879093199,0.476539646800325,0.4788293860897197
Random Forest,0.46851385390428213,0.44925322269965917,0.45475566761543645
CatBoost,0.45591939546599497,0.4379581892147996,0.4433256924591418
Stacking,0.42317380352644834,0.40899020137945585,0.4142830058000286
DQN (RL),0.41309823677581864,0.4165007638233792,0.4143384574338693
