iter	MultiClass
0	1.062362712
1	1.038294582
2	1.009611865
3	0.9858488412
4	0.9641913203
5	0.9424119646
6	0.9298131652
7	0.9126889501
8	0.8982690231
9	0.8819455855
10	0.8680583963
11	0.8517371163
12	0.8389643021
13	0.8304087903
14	0.8169078362
15	0.8056449158
16	0.7952138349
17	0.7824973178
18	0.7724744291
19	0.7644793162
20	0.7541634205
21	0.7479824256
22	0.7381166964
23	0.7329070342
24	0.7248624157
25	0.7153066504
26	0.7084186036
27	0.7015084224
28	0.6936299273
29	0.6845592123
30	0.6775048454
31	0.6698939983
32	0.6638993912
33	0.6569858243
34	0.6525501835
35	0.6439089218
36	0.6357141412
37	0.6284205458
38	0.6222104943
39	0.6152644726
40	0.6101875161
41	0.6043440313
42	0.5949564394
43	0.5862865389
44	0.5831849219
45	0.5763657326
46	0.5678816311
47	0.5599890742
48	0.5546780788
49	0.547314547
50	0.5431456097
51	0.5385060984
52	0.5347616512
53	0.5290008278
54	0.5238272187
55	0.5186306022
56	0.5134061015
57	0.5089235596
58	0.5034280861
59	0.4991096824
60	0.4927399486
61	0.4893770389
62	0.4842038827
63	0.4795150086
64	0.4727634081
65	0.4682702069
66	0.4641045872
67	0.4589870016
68	0.4540280479
69	0.450028984
70	0.4461697517
71	0.4419943255
72	0.4366166723
73	0.4324965466
74	0.4281116223
75	0.425909926
76	0.4229453695
77	0.4192205801
78	0.4149907076
79	0.4112801512
80	0.4077324113
81	0.4025865721
82	0.3998913732
83	0.395602936
84	0.3904804831
85	0.3885583943
86	0.3864506186
87	0.3830234465
88	0.3795856026
89	0.3762749314
90	0.373834121
91	0.3701422357
92	0.3662532573
93	0.3620362559
94	0.359426226
95	0.355140439
96	0.3529049544
97	0.349815594
98	0.3462521292
99	0.3422696067
100	0.3392568891
101	0.3361421602
102	0.3331447852
103	0.3298920782
104	0.3264347867
105	0.3240115417
106	0.3216100774
107	0.3184630532
108	0.3162387611
109	0.3141798078
110	0.3116054612
111	0.3091389822
112	0.3072804381
113	0.3051109445
114	0.3029270687
115	0.3018517379
116	0.2983810912
117	0.2953470296
118	0.2937042333
119	0.2914954795
120	0.2887419519
121	0.2871435949
122	0.2851022303
123	0.2839972649
124	0.2813131316
125	0.2791207186
126	0.2771685614
127	0.2744565436
128	0.2733699075
129	0.2721470352
130	0.270516452
131	0.2690168037
132	0.2667170644
133	0.2641949518
134	0.2623262524
135	0.2593479828
136	0.2575925375
137	0.2550385376
138	0.2526649355
139	0.2506009731
140	0.2482746559
141	0.2470164899
142	0.245219041
143	0.2436316875
144	0.2418326067
145	0.2397434808
146	0.2386204567
147	0.2370343624
148	0.2357055796
149	0.2342237659
150	0.2331746805
151	0.2321891062
152	0.2294714581
153	0.2282446003
154	0.2267347953
155	0.2256944041
156	0.2242940016
157	0.2222097951
158	0.2205175222
159	0.2192640081
160	0.2178199937
161	0.2166031611
162	0.2156309987
163	0.2143157654
164	0.2127828188
165	0.2113686724
166	0.2104906861
167	0.2092804048
168	0.2085141784
169	0.2065266665
170	0.2055239816
171	0.2044417586
172	0.2034566426
173	0.2024632025
174	0.2009634912
175	0.2000108613
176	0.1987591715
177	0.1975973542
178	0.1962976885
179	0.1946136003
180	0.1935344521
181	0.1920250078
182	0.1905844664
183	0.1895095508
184	0.1884958434
185	0.1874295537
186	0.1860909153
187	0.1849661644
188	0.1843393618
189	0.1835559336
190	0.1829505549
191	0.1812793128
192	0.1799307209
193	0.1789304709
194	0.1777621172
195	0.1769488046
196	0.1761149194
197	0.1751102268
198	0.1741402789
199	0.1732482251
200	0.1720686816
201	0.1710061981
202	0.1697391171
203	0.1683406434
204	0.1672581442
205	0.1663258019
206	0.1650905109
207	0.1646405503
208	0.164045399
209	0.1633319222
210	0.162878089
211	0.1620609548
212	0.1613104165
213	0.1606520181
214	0.1594851058
215	0.1585863851
216	0.1578691977
217	0.1570696502
218	0.156526656
219	0.1562579145
220	0.1556571291
221	0.154695518
222	0.1540552066
223	0.153006376
224	0.1520322909
225	0.1515902935
226	0.1509089294
227	0.1501603856
228	0.1495503792
229	0.1485926054
230	0.1482203509
231	0.1474073798
232	0.1466736877
233	0.1460394295
234	0.145498972
235	0.1447827451
236	0.1442987815
237	0.1438413256
238	0.1432483583
239	0.1427213253
240	0.1420499855
241	0.1412097028
242	0.1408156584
243	0.1400141725
244	0.1393670317
245	0.1388767058
246	0.1382458461
247	0.1374773943
248	0.1366411653
249	0.1355639665
250	0.1351224897
251	0.1347240313
252	0.1338502803
253	0.1332428536
254	0.1328568104
255	0.1322839902
256	0.1314271898
257	0.130484998
258	0.1301435809
259	0.1295380366
260	0.1290247857
261	0.1285408957
262	0.127978685
263	0.1276469328
264	0.1268740051
265	0.1266606646
266	0.1261488733
267	0.1255320524
268	0.1247358745
269	0.1244239897
270	0.1240422785
271	0.1238224287
272	0.1235181549
273	0.123102757
274	0.1226188756
275	0.1221870836
276	0.1216919359
277	0.1212062582
278	0.1205354509
279	0.119853093
280	0.1195228301
281	0.1190415683
282	0.1185362002
283	0.1182873253
284	0.1179962581
285	0.1175195349
286	0.1169836468
287	0.1165857031
288	0.1162654086
289	0.1155512304
290	0.1150043055
291	0.1146383676
292	0.1142728136
293	0.1140195538
294	0.1135865479
295	0.1130279389
296	0.1127441693
297	0.1123702817
298	0.1117305588
299	0.1113197328
